Ссылка на продукт,Наименование,Цена,Рейтинг пользователей,Описание продукта,Инструкция по применению,Страна-производитель
https://goldapple.ru/99000005113-dune,ANNA TWELVE Парфюм для дома Dune 100 мл,9525,нет,"Аромат Dune — в ночной глубине между дюнами и звездами. Интенсивная и огненная чувственность агарового дерева дополнена нотками бензоиновых смол и черным ладаном из Сомали. Нежные аккорды розы сливаются со сладостью малины и силой герани, вплетаясь друг в друга и становясь единым целым с сердцем шафрана, уносящим к звездным ночам в пустыне. Cube — это особый элемент антуража от Anna Twelve, созданный для интерьера, где каждая деталь имеет значение. Изысканный куб из черного стекла со стальным диффузором в стиле минимализма гармонично сочетается с элементами любого стиля. Идеально подходит для дома или гостиничного номера, о котором хочется сохранить приятные воспоминания. Помпа позволяет определить правильную дозировку парфюма, регулируя тем самым интенсивность аромата. Несколько распылений непосредственно на тюль или мебельную ткань обеспечат стойкость аромата в помещении.","Аромат распыляется непосредственно на тюль и мебельную ткань с расстояния 60 см. Парфюм не повреждает ткани, не оставляет разводов и следов. Рекомендуется избегать контакта с деликатными поверхностями.",Италия
https://goldapple.ru/26372100008-oud-wood,Tom Ford Парфюмерная вода-спрей Oud Wood 30 мл,18270,4.7,"Том Форд воспевает удовое дерево как один из самых ценных ингредиентов в парфюмерии. Его редкие и экзотические ноты сливаются с оттенками розового дерева, кардамона, бобов тонка и амбры, создавая ни с чем не сравнимый, теплый и чувственный аромат.",нет,Швейцария
https://goldapple.ru/99000051391-pumpkin-caramel-crunch,Gorkiy Candle Ароматическая свеча Pumpkin caramel crunch 135 мл,728,5.0,"Погрузитесь в атмосферу уюта и тепла с нашей уникальной ароматической свечой из гипса в форме сферы. Этот изысканный продукт не только украсит Ваш интерьер, но и наполнит Ваше пространство волшебным ароматом ""Тыквенно-карамельный хруст"". Преимущества: Эстетика: Свеча в форме сферы станет стильным акцентом в любом интерьере, добавляя нотку элегантности и оригинальности. Аромат: Нежный и сладкий аромат тыквы в сочетании с карамелью создаст атмосферу праздника и уюта, идеально подходя для осенних вечеров. Качество: Изготовленная из высококачественного гипса, эта свеча горит долго и равномерно, наполняя Ваш дом приятным ароматом. Идеально подходит для: Создания романтической атмосферы. Подарка на праздники и особые случаи. Декора Вашего дома или офиса. Размер: 70х80 мм. Время горения: 35 часов.","1. При первом зажигании свечи дайте погореть не менее 30 минут, чтобы воск полностью расплавился по всей поверхности и не образовался тоннель. 2. Подрезайте фитиль перед каждым повторным использованием, чтобы не было нагара и копоти. 3. Не используйте свечу зажженной больше 3х часов, т.к воск сильно нагреется и аромат выделяться не будет. 4. Не оставляйте свечу зажженной без присмотра.",Россия
https://goldapple.ru/19000444982-toy-2,Moschino Подарочный парфюмерный набор TOY 2 pearl 3 шт,8580,нет,"Парфюмерная вода MOSCHINO ""TOY 2 PEARL"". Объем: 50 мл. Парфюмированный гель для душа и ванны MOSCHINO ""TOY 2 PEARL"". Гель для душа мягко и эффективно очищает кожу тела, оставляя на ней чарующий аромат. Игривая и переливающаяся композиция с нотами лимонного сорбета, жасмина, орегано, фрезии и песка переносит на залитый солнцем и омываемый свежими морскими волнами райский остров. Объем: 50 мл. Парфюмированный лосьон для тела MOSCHINO ""TOY 2 PEARL"". Парфюмированный лосьон для тела увлажняет и смягчает кожу, оставляя на ней тонкий аромат. Игривая и переливающаяся композиция с нотами лимонного сорбета, жасмина, орегано, фрезии и песка переносит на залитый солнцем и омываемый свежими морскими волнами райский остров. Объем: 50 мл.","Парфюмированный гель для душа и ванны MOSCHINO ""TOY 2 PEARL"": Добавьте в ванну или нанесите на влажную кожу тела во время принятия душа, вспеньте и распределите круговыми массажными движениями, затем смойте водой. Парфюмированный лосьон для тела MOSCHINO ""TOY 2 PEARL"": Нанесите на чистую кожу тела и распределите круговыми массажными движениями до полного впитывания.",Италия
https://goldapple.ru/19000297779-cernika-i-mata,BYKALI Парфюмированный спрей Черника и мята 50 мл,755,4.5,"Фруктовый, зеленый, свежий. Верхние ноты мякоти черники деликатные, сладкие, переходящие в лёгкие ментолово-мятные оттенки, создающие ощущение приятной прохлады. Превратите ваш дом или автомобиль в оазис ароматов с BYKALI - Парфюмированным спреем, идеальным ароматизатором для дома, автомобиля и других пространств. Наш продукт предлагает уникальное сочетание экологичного и безвредного состава, практичности применения и стойкого аромата, чтобы создать неповторимую атмосферу в любом месте. С помощью удобного распылителя, наш парфюмированный интерьерный спрей обеспечивает практичность в использовании. Просто нажмите на спрей, и ваш дом, автомобиль или другое пространство наполнятся нежным и стойким ароматом. Погрузитесь в волшебный мир ароматов BYKALI.","Средство не предназначено для нанесения на кожу. При попадании в глаза, промыть водой.",Россия
https://goldapple.ru/19000131333-wild-cedar-tree,Vellutier Свеча ароматическая Wild Cedar Tree 225 г,3420,5.0,"Свечи Vellutier — Это дизайн, элегантность и история, описанная в ароматах. Это бархатистый воск высочайшего качества, изготовленный по специальному рецепту в уникальном стакане. Его утонченная форма с характерным срезом, образует идеальную фигуру с крышкой из натурального дерева. Геральдический логотип, выгравированный на деревянной крышке, подчеркивает уникальность благородного материала, раскрывая его неповторимую структуру. Свечи Vellutier имеют специальный хлопковый фитиль, изготовленный с добавлением египетского хлопка. Для его изготовления мы используем хлопок высочайшего качества, который позволяет свече гореть красивым пламенем. Ароматы Vellutier — это тщательно подобранные элегантные композиции, которые переносят нас в далекие края, рассказывая через уникальные ноты, захватывающие истории о самых красивых уголках мира! Сделайте глубокий вдох, и почувствуйте порыв ветра, наполненный ароматом изысканных кедров, окутанных нотами золотистого шафрана, кардамона, манящего мускуса и амбры. Отдохните вместе с нами в нашей чудесной кедровой роще.",нет,Польша
https://goldapple.ru/19000210123-peach-passion-fruit-musk,"Zielinski & Rozen Крем для рук Peach, Passion fruit, Musk 50 мл",1485,4.7,"Крем для рук интенсивно питает и смягчает кожу, легко впитывается, имеет мягкую текстуру.",Выдавить небольшое количество на чистые руки и равномерно распределить. Повторяйте по мере необходимости.,Израиль
https://goldapple.ru/19000196060-peonia-in-fiore,Logevy Firenze 1965 Ароматический диффузор Peonia in Fiore 500 мл,14850,5.0,"Нежный цветок с неповторимым оттенком и ароматом. Пион известен как горная роза, имеет сладкий, насыщенный, терпкий аромат. Самый нежный, романтичный аромат в нашей линейке. Пионы здесь не сладкие, они лёгкие и свежие. Наполнят ваше пространство нежностью, свежестью и чистотой, словно капли дождя на пионах.","Окуните все палочки во флакон; для более интенсивного распространения аромата переворачивайте палочки несколько раз в день. Регулировать аромат можно уменьшая или увеличивая число палочек. Палочки играют основную роль в интенсивности ароматизации, чем больше палочек, тем аромат насыщеннее. Для достижения лучших результатов, флакон не стоит никогда выставлять на прямой солнечный свет или ставить рядом с источниками тепла, так как под его воздействием происходит испарение аромата.",Италия
https://goldapple.ru/89060600001-synactif-eau-de-parfum,CLÉ DE PEAU BEAUTÉ Парфюмерная вода Synactif Eau de Parfum 50 мл,27895,4.8,"Уникальный тонкий, нежный аромат свежести и чистоты. Ваша уникальная аура.","Нанесите на тело, избегая попадания в глаза.",Япония
https://goldapple.ru/19000147788-cherry-lips,DILIS Парфюмерная вода Cherry lips 18 мл,559,4.5,"С первых аккордов до последней ноты шлейфа он звучит упомрочительно элегантно и головокружительно дерзко. Сочетание вишневых акцентов и цветочной благородной основы аромата создает то самое неповторимое звучание, которому всегда оборачиваются вслед. Вишневые ноты звучат практически соло, однако иногда уступают главную партию горькому миндалю, что придает аромату еще большую глубину и терпкость. Откройте для себя Cherry Blossom и аромат откроет все свои вишневые секреты для вас.","Рекомендуем наносить небольшое количество парфюмерной жидкости на «теплые» точки тела. Это так называемые точки пульса, в которых кровяные сосуды находятся близко к коже и из-за этого температура этих участков немного выше. «Теплые» точки способствует более долгому звучанию аромата и его более глубокому раскрытию. К таким местам относятся запястья, шея (в особенности ее задняя часть), кожа за ушами, локтевой изгиб и подколенная ямка. Парфюмеры рекомендуют наносить ароматы также на волосы: пару капель на расческу и далее легкими движениями распределить их по всей длине. Именно волосы способны хранить запахи дольше всего. Для любителей тонкого легкого звучания аромата рекомендуем распылить небольшое количество парфюма перед собой и плавно войти в ароматное облако. Духи стоит наносить вечером, ведь они имеют яркое и насыщенное звучание, в то время как парфюмерная вода больше подходит для светлого времени суток. А туалетная вода — отличное решение для активных будних дней, ведь ее аромат звучит легко и ненавязчиво и его можно обновлять каждые 2-3 часа. Не применять вблизи огня. Только для наружного использования.",Беларусь
https://goldapple.ru/19000347137-silky-woods-2024,Goldfield & Banks Набор духов Silky Woods 2024 2 шт,25338,5.0,"Заключенная в роскошный флакон, напоминающий жидкое золото, композиция Silky Woods строится вокруг драгоценного агарового дерева. Silky Woods – это восхитительный, утонченный и в то же время невероятно соблазнительный коктейль, который отправляет вас в чувственное путешествие по Австралии. В этом аромате впервые в истории парфюмерии используются драгоценные породы древесины из тропического леса Дейнтри в Квинсленде, Австралия. Для того чтобы подчеркнуть современное ориентальное звучание агарового дерева, замши, экзотической ванили и дымных табачных листьев, Goldfield & Banks добавляет в композицию соблазнительный шафран, чувственный иланг-иланг и роскошный австралийский сандал. В состав набора входит: Духи, 100 мл Духи, 10 мл.","Духи следует наносить в небольшом количестве, близко к коже (1-2 см), на тепловые точки: под коленями, область живота, запястья, сгибы локтей, район солнечного сплетения, точки за ушами, основание шеи со стороны спины, затылок. Как правило на одну точку достаточно несколько капель. Растирать духи не рекомендуется, так как это может нарушить правильный процесс раскрытия композиции. Для повышения стойкости рекомендуем наносить на хорошо увлажненную кожу, комбинируя с кремом, молочком или маслом для тела.",Франция
https://goldapple.ru/19000439664-still-a-rose,Hersteller Увлажняющий лосьон для тела Still A Rose 300 мл,1428,5.0,"Лосьон Hersteller интенсивно увлажняет и глубоко питает кожу тела, устраняя сухость и оставляя тонкий цветочно-древесный аромат с нотами розы и сандала. Средство с маслами ши, мурумуру и макадамии помогает сделать кожу мягкой, гладкой и увлажнённой. Формула, также включающая зерновые экстракты и церамиды, успокаивает кожу и укрепляет естественный защитный барьер.","Нанесите необходимое количество лосьона на кожу тела, распределите массирующими движениями, уделяя особое внимание сухим участкам кожи.",Республика Корея
https://goldapple.ru/19000321436-foglie-di-fico,TEATRO FRAGRANZE UNICHE Диффузор Foglie Di Fico 100 мл,4950,5.0,"Зеленый и естественный аромат листьев райского инжира смягчается сладостью ландыша и гармонируют с свежими цитрусовыми нотами. Элегантность ветивера и сандала делает звучание аромата глубже и изысканней. Аромат Foglie Di Fico напоминает о радостных моментах прошлого и дарит чувство благожелательности, которая разливается в воздухе, как свежая и размеренная мелодия. Идеально подходит для кухни, гостиной и столовой.","Окуните все палочки во флакон; для более интенсивного распространения аромата переворачивайте палочки несколько раз в день. Регулировать аромат можно уменьшая или увеличивая число палочек. Палочки играют основную роль в интенсивности ароматизации, чем больше палочек, тем аромат насыщеннее. Для достижения лучших результатов, флакон не стоит никогда выставлять на прямой солнечный свет или ставить рядом с источниками тепла, так как под его воздействием происходит испарение аромата.",Италия
https://goldapple.ru/19000454038-rozmarin-lavr-salfej,"ETERIA COSMO Ароматический спрей для дома Розмарин, лавр, шалфей 100 мл",545,нет,"Аромат для концентрации и баланса энергии. Насладитесь моментами счастья и гармонии с ароматом «Розмарин, лавр и шалфей». Свежий и бодрящий аромат розмарина переплетается с благородными нотами лавра, пряно-травяные акценты бархатистого шалфея создают утончённую композицию, которая наполняет дом чистотой и освежает сознание. Вдохновитесь ароматным шлейфом тосканских пейзажей, заряжаясь жизнерадостной энергией.",Разбрызгивать на расстоянии не менее 30 см от изделия.,Россия
https://goldapple.ru/99000061172-mango-i-kokos,CMYK candles Ароматическая свеча Манго и Кокос 90 мл,1290,нет,"Современный тропический дуэт спелого манго и нежного кокосового молока. Яркие верхние ноты ананаса и апельсина плавно переходят в сочное сердце из манго и персика. «Манго и кокосовое молоко» - это настоящая ода лету, оставляющая за собой сладкий, сливочно-кокосовый шлейф. Свеча ""Манго и кокос"" изготовлена из 100% соевого воска и натуральных ароматических масел с сертификатами безопасности. Деревянный фитиль при горении создает уютное потрескивание, напоминая о тёплых летних вечерах. Свечи Cmyk - это крафтовое производство экологичных свечей из гипса и стекла. Натуральный состав, стильный дизайн и безопасные компоненты делают их идеальным выбором для вашего интерьера.","В первый сеанс дайте свече прогореть 1 час, чтобы воск растопился до краев стакана. Не жгите свечу дольше 3-4 часов, чтобы свеча не потеряла ароматические свойства. Перед зажжением подрезайте фитиль до 5 мм., чтобы свеча горела чисто и не образовывалась копоть. Храните свечу в прохладном месте. Не ставьте свечу под прямые солнечные лучи и рядом с батареей. Соблюдайте правила безопасности при горении свечи. Не ставьте около легковоспламеняющихся предметов. Не оставляйте свечу без присмотра и в пределах досягаемости детей и животных.",Россия
https://goldapple.ru/19000378839-smell-like-a-king,EPC. EXPERIMENTAL PERFUME CLUB Парфюмерная вода SMELL LIKE A KING 50 мл,14968,5.0,"Насыщенная, бесстыдно мощная и соблазнительная композиция EPC с кожаными и пряными аккордами – словно приглашение в клуб джентльменов, наполненный ароматами сигар, виски, абсента и кожи. Масло полыни дарит оригинальную ноту абсента, а киприол добавляет королевской композиции зеистые, бальзамические и древесные акценты. Их усиливают кедр и пачули, а свежие травы и специи интригующе контрастируют с глубоким древесно-табачным звучанием. Эта парфюмерная вода EPC появилась в результате добавления новых граней и соединения двух лаконичных ароматов бренда, подходящих для смешивания: CARDAMOM MOSS и CEDARWOOD ABSINTH. Гармоничное сочетание композиций в тщательно подобранных пропорциях позволило создать эффектный и уникальный аромат с особым характером.",нет,Франция
